trial_id,pt_test_acc,pt_uniform_accuracy,pt_gaussian_accuracy,pt_saltandpepper_accuracy,pt_spatial_accuracy,tf_test_acc,tf_uniform_accuracy,tf_gaussian_accuracy,tf_saltandpepper_accuracy,tf_spatial_accuracy,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
968bca94,0.6689800668407131,0.6625590304888948,0.6630329206686673,0.6638948598790227,0.021294484529778637,0.7124999761581421,0.7046964515855919,0.7053237975183677,0.7073281295566364,0.0145683013330072,0.5524178018558822,0.01099848747253418,True,,,2,5a0e00cf44034014baa96244c150dd76,2020-11-14_01-55-36,1605318936,383.80291509628296,201753,thetagpu16,140.221.68.26,383.80291509628296,0,2,"1_batch_size=272,dropout=0.59139,epochs=100,learning_rate=0.073637",0.07363680671288783,0.5913875152274123,100,272
9690d96c,0.5406169746373151,0.5331940668479129,0.5339066659768018,0.5354988429083452,0.008178427296074344,0.7182000279426575,0.7115302301953885,0.7120876097120441,0.713205896463815,0.027806652806652805,0.5034225394787007,0.010059833526611328,True,,,2,ede117a5d6cd428a89035ad8548aed53,2020-11-14_01-55-02,1605318902,349.41113090515137,201806,thetagpu16,140.221.68.26,349.41113090515137,0,2,"2_batch_size=272,dropout=0.63442,epochs=85,learning_rate=0.075015",0.07501513882560196,0.6344194114964387,85,272
96928b86,0.1032500281886484,0.10325002494263193,0.10325002494263193,0.10324235028664838,0.10155392597026837,0.09740000218153,0.09731991419734609,0.09731991419734609,0.09731991419734609,0.09712037314177391,0.10010264722461712,0.010325193405151367,True,,,2,abf7141666444d9c9ce733034c1a3ad3,2020-11-14_02-15-05,1605320105,1552.8727102279663,201747,thetagpu16,140.221.68.26,1552.8727102279663,0,2,"3_batch_size=39,dropout=0.88244,epochs=67,learning_rate=0.093024",0.09302416417927374,0.8824437408748178,67,39
96948832,0.6044541902658416,0.5976019692185665,0.598358158300157,0.6005129921139737,0.028806018243109275,0.5577999949455261,0.5488809698134506,0.5496183781021676,0.5526461851156974,0.03656181836208606,0.4675240674480576,0.011034965515136719,True,,,2,b8cd2afee35e4a49ae3e8c1499436017,2020-11-14_01-54-45,1605318885,332.8621003627777,201647,thetagpu16,140.221.68.26,332.8621003627777,0,2,"4_batch_size=246,dropout=0.80187,epochs=59,learning_rate=0.051048",0.05104803206547147,0.8018729581782755,59,246
9696b9d6,0.7069066939219623,0.7002604285881414,0.7007764535933549,0.7004989852440753,0.021721880579250133,0.6661999821662903,0.65829582042635,0.6591551839022579,0.6601165316202016,0.0264200224823117,0.5500351982524195,0.009539365768432617,True,,,2,5cdf67b1926e4899be00d362bd2b42ee,2020-11-14_01-58-34,1605319114,561.3450858592987,201661,thetagpu16,140.221.68.26,561.3450858592987,0,2,"5_batch_size=142,dropout=0.51328,epochs=100,learning_rate=0.06969",0.06968970758864382,0.5132795621306617,100,142
969924dc,0.11373328322019333,0.11370258661488829,0.11370258661488829,0.11371026127087183,0.09783054530136241,0.16859999299049377,0.16703832992139125,0.16711432213469843,0.16776050193037284,0.09973599183416604,0.13229284018333265,0.008936405181884766,True,,,2,96d9e2200a854cd8a26169a1ddc52041,2020-11-14_01-55-40,1605318940,387.647433757782,201701,thetagpu16,140.221.68.26,387.647433757782,0,2,"6_batch_size=257,dropout=0.86137,epochs=98,learning_rate=0.088358",0.0883578637804753,0.8613733001570503,98,257
969b1184,0.4696342297016628,0.4658271335289969,0.46621391031328924,0.4666537741071902,0.013698555106422608,0.5541999936103821,0.5484056622772979,0.5488606937882299,0.5500134402825915,0.04653455585132602,0.4130041948567389,0.010900735855102539,True,,,2,aecfa19126a94e08b8cb3414e44f136a,2020-11-14_01-57-00,1605319020,467.9378604888916,201773,thetagpu16,140.221.68.26,467.9378604888916,0,2,"7_batch_size=161,dropout=0.69037,epochs=81,learning_rate=0.072147",0.07214731702221369,0.6903722676189592,81,161
969d5f70,0.315525502384266,0.31348945347752266,0.3137618054599562,0.31308113794691644,0.07149090828748812,0.3910999894142151,0.3880182972944954,0.388324215277884,0.388847250052261,0.07751154415501206,0.2961150103750017,0.010524988174438477,True,,,2,65ed4675986d434ca7c0fec6b0bab408,2020-11-14_02-02-50,1605319370,817.3716447353363,201692,thetagpu16,140.221.68.26,817.3716447353363,0,2,"8_batch_size=94,dropout=0.60905,epochs=96,learning_rate=0.081445",0.08144518938270962,0.6090498732421772,96,94
969f9e34,0.8510221843466614,0.8434143607588585,0.8443707409018414,0.8416068580542264,0.0033891547049441847,0.8255000114440918,0.8179817590702758,0.8187485361528423,0.8177642732068569,0.001096491228070178,0.6664894369868669,0.010855913162231445,True,,,2,4d1bb420e9884666b830c9f4c8a9da1e,2020-11-14_02-08-21,1605319701,813.0802381038666,201697,thetagpu16,140.221.68.26,813.0802381038666,0,2,"9_batch_size=76,dropout=0.46531,epochs=91,learning_rate=0.043353",0.04335278906458074,0.46531424990391834,91,76
5ed37024,0.7472760657469432,0.7401302193691502,0.7405853855047896,0.7415550986454883,0.011242603550295858,0.7793999910354614,0.7669180544002007,0.7680559697392996,0.7722939850056765,0.021284771815275785,0.6088742144812581,0.010589122772216797,True,,,2,44574caa842a4c47bae498f56c1a1401,2020-11-14_02-02-04,1605319324,419.2488307952881,201659,thetagpu16,140.221.68.26,419.2488307952881,0,2,"10_batch_size=169,dropout=0.65486,epochs=67,learning_rate=0.051485",0.05148474179938294,0.6548553060057666,67,169
