trial_id,pt_test_acc,tf_test_acc,pt_uniform_accuracy,tf_uniform_accuracy,pt_gaussian_accuracy,tf_gaussian_accuracy,pt_saltandpepper_accuracy,tf_saltandpepper_accuracy,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
80762e40,0.447147178909053,0.37529999017715454,0.33540810334703464,0.4015267175572519,0.33258954785672346,0.4015267175572519,0.3369348209042865,0.4015267175572519,0.37899497423325096,311.94471883773804,True,,,1,06e8dbc1642f47b1a1d15f4f1dba1eda,2020-10-11_23-27-33,1602476853,311.94471883773804,259561,iotagpu02,140.221.68.6,311.94471883773804,0,1,"1_batch_size=655,dropout=0.78978,epochs=64,learning_rate=0.089042",0.08904180336345821,0.7897833875890037,64,655
8076cef4,0.9191027283668518,0.9197999835014343,0.694850603941513,0.8893833439287985,0.7117609663064208,0.8924348378893834,0.7159567705022251,0.8953591862682772,0.829831052588113,408.23561906814575,True,,,1,d5d81e55265a41e3aeeb1a23db5d854a,2020-10-11_23-29-09,1602476949,408.23561906814575,259560,iotagpu02,140.221.68.6,408.23561906814575,0,1,"2_batch_size=605,dropout=0.50079,epochs=86,learning_rate=0.069839",0.06983889360071834,0.5007939834410123,86,605
8077106c,0.6227938192231315,0.6547999978065491,0.2845528455284553,0.6913070669168231,0.2904315196998124,0.691682301438399,0.3018136335209506,0.6983114446529081,0.5294615785983786,460.259929895401,True,,,1,15d1970f636e4044a4c580b4c715a88d,2020-10-11_23-30-01,1602477001,460.259929895401,259562,iotagpu02,140.221.68.6,460.259929895401,0,1,"3_batch_size=615,dropout=0.84247,epochs=97,learning_rate=0.052629",0.052629020623282854,0.8424728454553476,97,615
80774438,0.9304222602669786,0.9243000149726868,0.7058084772370486,0.8942961800104657,0.7090528519099948,0.8967032967032967,0.7277864992150707,0.8986917844060701,0.8358826705902015,271.59079909324646,True,,,1,793fb63a5f8c4a22ba2508f300a74a94,2020-10-11_23-26-53,1602476813,271.59079909324646,259567,iotagpu02,140.221.68.6,271.59079909324646,0,1,"4_batch_size=735,dropout=0.73375,epochs=57,learning_rate=0.040877",0.04087747109770934,0.7337482730666611,57,735
80777c46,0.918212796466938,0.9165999889373779,0.6321375317954565,0.9333391807736163,0.6188053679501798,0.9364967985264451,0.6314358389614947,0.942987457240593,0.8162518700815127,228.3941740989685,True,,,1,5f04fd7510974a58a28c113e73257bcd,2020-10-11_23-26-09,1602476769,228.3941740989685,259565,iotagpu02,140.221.68.6,228.3941740989685,0,1,"5_batch_size=877,dropout=0.8139,epochs=48,learning_rate=0.039926",0.03992635815711729,0.8138993687098737,48,877
8077ada6,0.8121911277994514,0.8342000246047974,0.5583414475819539,0.7892729633235962,0.5602077247646868,0.7917883803959753,0.574326517364492,0.7932489451476793,0.7141971413728291,304.5018184185028,True,,,1,a8708ab89b8c46d1b4053a038a4dc02d,2020-10-11_23-27-26,1602476846,304.5018184185028,259564,iotagpu02,140.221.68.6,304.5018184185028,0,1,"6_batch_size=948,dropout=0.57726,epochs=63,learning_rate=0.096253",0.09625306919776813,0.5772595781650085,63,948
8077e460,0.8339474012977198,0.8416000008583069,0.5478353304986471,0.7854657904909161,0.5453227676845767,0.7880749903362969,0.5660997294163124,0.7902010050251256,0.7123183769509877,380.18146276474,True,,,1,5f34c48f177c4d088e37dde3af646978,2020-10-11_23-28-41,1602476921,380.18146276474,259571,iotagpu02,140.221.68.6,380.18146276474,0,1,"7_batch_size=796,dropout=0.72116,epochs=79,learning_rate=0.063835",0.0638349264492235,0.7211607485936693,79,796
8078189a,0.9143888997760686,0.9075999855995178,0.6739228513422062,0.9474396571170765,0.6819309722535529,0.9489059327769005,0.6907286262124972,0.9399954883825852,0.8381140516825506,257.7517104148865,True,,,1,ccae13f273234d62927519b5c061a137,2020-10-11_23-26-39,1602476799,257.7517104148865,259569,iotagpu02,140.221.68.6,257.7517104148865,0,1,"8_batch_size=682,dropout=0.47575,epochs=54,learning_rate=0.079298",0.07929843157116268,0.47575089302097445,54,682
80785396,0.766196190826292,0.7509999871253967,0.38304872317092276,0.6829077236409211,0.39323202255992484,0.685257715807614,0.3922920256932477,0.693717687607708,0.5934565095540034,402.63418078422546,True,,,1,d77b87f4f006415aa082a64eb8f4aa01,2020-10-11_23-32-55,1602477175,402.63418078422546,260177,iotagpu02,140.221.68.6,402.63418078422546,0,1,"9_batch_size=491,dropout=0.59167,epochs=79,learning_rate=0.084528",0.0845283620771135,0.5916690382176234,79,491
807886c2,0.42433525976680575,0.49810001254081726,0.18098134955575118,0.49251580885295765,0.18338269430881293,0.492916032978468,0.1847434563355479,0.498679260385816,0.3694567343406221,285.02896070480347,True,,,1,e7f1e5db67854840bc4b27a25d685066,2020-10-11_23-31-27,1602477087,285.02896070480347,260121,iotagpu02,140.221.68.6,285.02896070480347,0,1,"10_batch_size=961,dropout=0.8643,epochs=59,learning_rate=0.070476",0.07047554554001334,0.8642997984372502,59,961
