trial_id,robust_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
92c4023e,0.7212919677008075,0.831104040145874,True,,,2,b0acdd5a7766485580f417a66247dc39,2020-10-06_14-35-11,1602020111,934.1092655658722,68350,lambda1,140.221.79.11,934.1092655658722,0,2,"1_batch_size=905,dropout=0.78198,epochs=85,learning_rate=0.063209",0.0632091602051591,0.7819755075507783,85,905
92c4023f,0.55340806597088,0.38080334663391113,True,,,2,cada554920934d148aa3f5912b32ebf2,2020-10-06_14-35-57,1602020157,979.8822765350342,68351,lambda1,140.221.79.11,979.8822765350342,0,2,"2_batch_size=597,dropout=0.82902,epochs=89,learning_rate=0.080967",0.08096664763150344,0.8290193558915677,89,597
92c40240,0.9355012964563526,3.0763516426086426,True,,,2,2e1e60fbb107436b859161117a2008cc,2020-10-06_14-31-20,1602019880,702.9342925548553,68352,lambda1,140.221.79.11,702.9342925548553,0,2,"3_batch_size=712,dropout=0.48888,epochs=60,learning_rate=0.057486",0.05748617257611413,0.48887986099273917,60,712
92c40241,0.7060404020300528,1.2307274341583252,True,,,2,2d14a0edb57c40f581a20c17de24fc2f,2020-10-06_14-33-03,1602019983,805.5308258533478,68353,lambda1,140.221.79.11,805.5308258533478,0,2,"4_batch_size=773,dropout=0.83725,epochs=68,learning_rate=0.042124",0.042124231557877055,0.8372491780866569,68,773
92c40242,0.5608647971173429,1.6549465656280518,True,,,2,e1471a969c2b4273a7c6ae896b9630e2,2020-10-06_14-30-31,1602019831,654.0419647693634,68356,lambda1,140.221.79.11,654.0419647693634,0,2,"5_batch_size=982,dropout=0.8584,epochs=56,learning_rate=0.080773",0.08077304393569493,0.8584041423586144,56,982
92c40243,0.6139512661251791,1.314685344696045,True,,,2,77761ba0da2640438dfba610522d87b5,2020-10-06_14-29-43,1602019783,606.278623342514,68355,lambda1,140.221.79.11,606.278623342514,0,2,"6_batch_size=966,dropout=0.81928,epochs=50,learning_rate=0.08406",0.08406004244982793,0.8192758112926076,50,966
92c40244,0.8043419994639507,1.1378352642059326,True,,,2,4d7493f9081a4135b96a22ab591194c5,2020-10-06_14-29-42,1602019782,604.8999495506287,68354,lambda1,140.221.79.11,604.8999495506287,0,2,"7_batch_size=861,dropout=0.74517,epochs=51,learning_rate=0.039548",0.0395478668895443,0.745166785252668,51,861
92c40245,0.7889838556505223,1.4649505615234375,True,,,2,c29b9e1e9c0f46e09ccbae47fbfcaf49,2020-10-06_14-29-16,1602019756,578.8727259635925,68357,lambda1,140.221.79.11,578.8727259635925,0,2,"8_batch_size=810,dropout=0.59949,epochs=47,learning_rate=0.06347",0.06347017261797575,0.5994891228196466,47,810
92c40246,0.6394230769230769,1.0659527778625488,True,,,2,f92284ccabd34cceae25513b196751a1,2020-10-06_14-30-42,1602019842,664.4438252449036,68358,lambda1,140.221.79.11,664.4438252449036,0,2,"9_batch_size=736,dropout=0.79042,epochs=55,learning_rate=0.095936",0.095935730752264,0.7904186362106921,55,736
92c40247,0.8612834679133021,0.7311992645263672,True,,,2,05ed1ff4eb704f69bb65944262cf0caf,2020-10-06_14-35-34,1602020134,956.6672863960266,68365,lambda1,140.221.79.11,956.6672863960266,0,2,"10_batch_size=905,dropout=0.6696,epochs=87,learning_rate=0.060844",0.06084417995241263,0.6695958258783803,87,905
