trial_id,robust_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
7dca4344,0.9021113243761996,150.6868612766266,True,,,1,faf5ed16dd5b41138cd28dc2933a15af,2020-10-06_12-26-40,1602012400,150.6868612766266,28260,lambda1,140.221.79.11,150.6868612766266,0,1,"1_batch_size=521,dropout=0.52813,epochs=94,learning_rate=0.037509",0.037509288644437,0.5281268497193194,94,521
7dca4345,0.25177304964539005,153.27405762672424,True,,,1,61a6469efeff405f8d7f1d5b5fd60dc9,2020-10-06_12-26-42,1602012402,153.27405762672424,28570,lambda1,140.221.79.11,153.27405762672424,0,1,"2_batch_size=564,dropout=0.8679,epochs=96,learning_rate=0.092347",0.09234658077368652,0.8679003436178547,96,564
7dca4346,0.4968364968364969,138.12704753875732,True,,,1,a49154f3585b417daa48b2d55652c4f4,2020-10-06_12-26-27,1602012387,138.12704753875732,28245,lambda1,140.221.79.11,138.12704753875732,0,1,"3_batch_size=462,dropout=0.85449,epochs=59,learning_rate=0.05097",0.050970204084660735,0.8544920788965933,59,462
7dca4347,0.8303240168191937,144.42546010017395,True,,,1,64c384885aec437cb1b32dcfb58404fd,2020-10-06_12-26-33,1602012393,144.42546010017395,28280,lambda1,140.221.79.11,144.42546010017395,0,1,"4_batch_size=622,dropout=0.71438,epochs=82,learning_rate=0.049743",0.04974346944555621,0.714377647729205,82,622
7dca4348,0.8546686018384132,103.235111951828,True,,,1,c533b549b39a423bb367977eaab5d27f,2020-10-06_12-25-52,1602012352,103.235111951828,28240,lambda1,140.221.79.11,103.235111951828,0,1,"5_batch_size=795,dropout=0.5566,epochs=67,learning_rate=0.081497",0.08149725136044289,0.5565961633815975,67,795
7dca4349,0.8407871198568873,137.4754135608673,True,,,1,40484b95cef44233a09615b252b3bc97,2020-10-06_12-26-26,1602012386,137.4754135608673,28272,lambda1,140.221.79.11,137.4754135608673,0,1,"6_batch_size=516,dropout=0.73069,epochs=68,learning_rate=0.052092",0.05209170629673289,0.7306874124436485,68,516
7dca434a,0.817571455975446,151.5058093070984,True,,,1,73726c2828204d9689b29e0a8d244efe,2020-10-06_12-26-40,1602012400,151.5058093070984,28279,lambda1,140.221.79.11,151.5058093070984,0,1,"7_batch_size=401,dropout=0.51813,epochs=79,learning_rate=0.080463",0.08046284120246762,0.5181264692673269,79,401
7dca434b,0.8944363812288341,149.83540391921997,True,,,1,de282d706cf643ae8f26b93f64c1df27,2020-10-06_12-26-39,1602012399,149.83540391921997,28282,lambda1,140.221.79.11,149.83540391921997,0,1,"8_batch_size=795,dropout=0.75197,epochs=95,learning_rate=0.040212",0.04021240080749054,0.7519720262347527,95,795
7dca434c,0.7661266854205063,147.7659251689911,True,,,1,0f7affa7dbca4f9cb62c077f24a32783,2020-10-06_12-26-37,1602012397,147.7659251689911,28229,lambda1,140.221.79.11,147.7659251689911,0,1,"9_batch_size=793,dropout=0.60955,epochs=89,learning_rate=0.085266",0.08526577433918942,0.6095512139522732,89,793
7dca434d,0.783832792517656,149.450040102005,True,,,1,5c875bc7fa6c42ef888d0b6d33af0b8d,2020-10-06_12-26-38,1602012398,149.450040102005,28262,lambda1,140.221.79.11,149.450040102005,0,1,"10_batch_size=806,dropout=0.77758,epochs=91,learning_rate=0.055236",0.05523588737016136,0.7775765693292623,91,806
7dca434e,0.5310585432266848,149.23823833465576,True,,,1,959d07219e1049e8818ed7d9aec0398e,2020-10-06_12-26-38,1602012398,149.23823833465576,28246,lambda1,140.221.79.11,149.23823833465576,0,1,"11_batch_size=904,dropout=0.61889,epochs=91,learning_rate=0.099713",0.09971308717012342,0.6188937985855458,91,904
7dca434f,0.900188127090301,144.4223644733429,True,,,1,3af034f49ed149d78601e00b508bb9cd,2020-10-06_12-26-33,1602012393,144.4223644733429,28266,lambda1,140.221.79.11,144.4223644733429,0,1,"12_batch_size=736,dropout=0.55271,epochs=69,learning_rate=0.041796",0.04179620729489904,0.5527102120195243,69,736
7dca4350,0.4492234169653524,151.66528987884521,True,,,1,bdee43c555254e689dfdb6fbaca4f5a4,2020-10-06_12-26-41,1602012401,151.66528987884521,28510,lambda1,140.221.79.11,151.66528987884521,0,1,"13_batch_size=837,dropout=0.85937,epochs=94,learning_rate=0.066195",0.06619468739922302,0.8593666616628033,94,837
7dca4351,0.4483294483294483,70.86414909362793,True,,,1,b8182b262df44b27b89de11a5bfcd9eb,2020-10-06_12-25-20,1602012320,70.86414909362793,28217,lambda1,140.221.79.11,70.86414909362793,0,1,"14_batch_size=990,dropout=0.815,epochs=46,learning_rate=0.097004",0.09700355658458455,0.8150008662471204,46,990
7dca4352,0.9427168576104746,75.3750684261322,True,,,1,8a8d4342993042b085b8fbcabcf6c27d,2020-10-06_12-25-24,1602012324,75.3750684261322,28661,lambda1,140.221.79.11,75.3750684261322,0,1,"15_batch_size=987,dropout=0.64594,epochs=46,learning_rate=0.057302",0.057301679540379416,0.6459363862970189,46,987
7dca4353,0.8295218295218295,147.12694883346558,True,,,1,daafb1d53b954793a716263324c4e576,2020-10-06_12-26-36,1602012396,147.12694883346558,28236,lambda1,140.221.79.11,147.12694883346558,0,1,"16_batch_size=740,dropout=0.48642,epochs=88,learning_rate=0.091367",0.09136739342922012,0.4864187076331502,88,740
7dca4354,0.8472185254192175,151.1450982093811,True,,,1,fdeb717a8b3a45c1bb91793bf154137a,2020-10-06_12-26-40,1602012400,151.1450982093811,28239,lambda1,140.221.79.11,151.1450982093811,0,1,"17_batch_size=578,dropout=0.64017,epochs=97,learning_rate=0.080464",0.08046400872071326,0.6401651018301788,97,578
7dca4355,0.5486323689147823,150.293851852417,True,,,1,2d94614dfeb140009cdcdb150fe063a1,2020-10-06_12-26-39,1602012399,150.293851852417,28278,lambda1,140.221.79.11,150.293851852417,0,1,"18_batch_size=779,dropout=0.82007,epochs=93,learning_rate=0.073667",0.0736674553765172,0.8200728308072531,93,779
7dca4356,0.8914075286415712,83.42466640472412,True,,,1,78f7a98074d64ef8a0a08bea33d5cc2a,2020-10-06_12-25-32,1602012332,83.42466640472412,28213,lambda1,140.221.79.11,83.42466640472412,0,1,"19_batch_size=940,dropout=0.47078,epochs=55,learning_rate=0.061897",0.06189732803234137,0.4707814644689301,55,940
7dca4357,0.4491413474240423,80.48752164840698,True,,,1,fa425ae4927d473da40cdd1fcbc24172,2020-10-06_12-25-29,1602012329,80.48752164840698,28258,lambda1,140.221.79.11,80.48752164840698,0,1,"20_batch_size=757,dropout=0.83928,epochs=50,learning_rate=0.075077",0.07507685640629097,0.8392787726615285,50,757
e23fa59e,1.0,106.37272787094116,True,,,1,ef37dd4d00d24f729d9840da93d6dfd1,2020-10-06_12-28-50,1602012530,106.37272787094116,28466,lambda1,140.221.79.11,106.37272787094116,0,1,"1_batch_size=754,dropout=0.74355,epochs=71,learning_rate=0.0014967",0.0014966902012438132,0.7435502243930971,71,754
e23fa59f,0.9504950495049505,112.17269229888916,True,,,1,745ce18dd7184a9abcac9d8d71c44dd1,2020-10-06_12-28-56,1602012536,112.17269229888916,28207,lambda1,140.221.79.11,112.17269229888916,0,1,"2_batch_size=707,dropout=0.51895,epochs=83,learning_rate=0.03266",0.03266042223054307,0.5189511369207601,83,707
e23fa5a0,0.9504909983633388,86.36176419258118,True,,,1,0e91b683a0944a329f33e686510907cf,2020-10-06_12-28-30,1602012510,86.36176419258118,28219,lambda1,140.221.79.11,86.36176419258118,0,1,"3_batch_size=564,dropout=0.56019,epochs=52,learning_rate=0.022319",0.022319035192225216,0.5601864392807587,52,564
e23fa5a1,0.9021175453759723,115.68037438392639,True,,,1,0a6cb742cfb54776adcc76754863d3e9,2020-10-06_12-29-00,1602012540,115.68037438392639,28221,lambda1,140.221.79.11,115.68037438392639,0,1,"4_batch_size=712,dropout=0.47227,epochs=76,learning_rate=0.05631",0.05630957450494416,0.47226645254060445,76,712
e23fa5a2,0.9572437488070242,101.54558038711548,True,,,1,204a436583a14bebbb16fa3a51e07a15,2020-10-06_12-28-46,1602012526,101.54558038711548,28252,lambda1,140.221.79.11,101.54558038711548,0,1,"5_batch_size=403,dropout=0.47188,epochs=47,learning_rate=0.034765",0.03476527425915872,0.4718846796978729,47,403
