trial_id,robust_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
f24de942,0.8834712198556592,1.5912678241729736,True,,,2,cca034326fc244cda446906e89fa60e0,2020-10-08_00-23-42,1602134622,199.58668422698975,183422,iotagpu02,140.221.68.6,199.58668422698975,0,2,"1_batch_size=874,dropout=0.59327,epochs=48,learning_rate=0.047701",0.04770098495436288,0.5932666036673463,48,874
f24ee248,0.6195734958111196,1.2309012413024902,True,,,2,f0b79dd44e544355901babc1867d35b2,2020-10-08_00-24-16,1602134656,233.9008927345276,183417,iotagpu02,140.221.68.6,233.9008927345276,0,2,"2_batch_size=404,dropout=0.71632,epochs=56,learning_rate=0.076392",0.07639197104636773,0.7163202429026823,56,404
f24f1b8c,0.4855144855144855,1.192345380783081,True,,,2,8a669af601404ed191e47b9b564e87d7,2020-10-08_00-26-17,1602134777,354.9503242969513,183421,iotagpu02,140.221.68.6,354.9503242969513,0,2,"3_batch_size=385,dropout=0.87548,epochs=85,learning_rate=0.057235",0.05723481186067657,0.8754768833579852,85,385
f24f6290,0.7873256277401355,1.3910481929779053,True,,,2,b7202700c01f489bb13e847f631e26e3,2020-10-08_00-24-49,1602134689,266.50055861473083,183425,iotagpu02,140.221.68.6,266.50055861473083,0,2,"4_batch_size=965,dropout=0.73703,epochs=65,learning_rate=0.069592",0.06959225469124179,0.7370294015417118,65,965
f24f99ea,0.772712883823995,1.2577900886535645,True,,,2,1d1539e51d4e4e1ba4a7662ea16cc3ff,2020-10-08_00-25-46,1602134746,323.23777770996094,183428,iotagpu02,140.221.68.6,323.23777770996094,0,2,"5_batch_size=486,dropout=0.78513,epochs=79,learning_rate=0.038145",0.03814508064826191,0.785126980992453,79,486
f24fc7bc,0.4040518305224188,1.3613054752349854,True,,,2,7ec50f16725948b28efb3dfbef965dac,2020-10-08_00-23-45,1602134625,202.9464099407196,183415,iotagpu02,140.221.68.6,202.9464099407196,0,2,"6_batch_size=748,dropout=0.88741,epochs=50,learning_rate=0.082185",0.08218507576757905,0.8874125767834293,50,748
f24ff9b2,0.7510566356720203,1.4217071533203125,True,,,2,11a30577df004946a9bb37c82d3a9bac,2020-10-08_00-24-03,1602134643,220.49888443946838,183442,iotagpu02,140.221.68.6,220.49888443946838,0,2,"7_batch_size=910,dropout=0.68297,epochs=54,learning_rate=0.081528",0.08152764782829726,0.6829658951201099,54,910
f2502856,0.5923076923076923,1.214709758758545,True,,,2,4a2243bf5f35417dad399a68f7b852e3,2020-10-08_00-25-42,1602134742,319.4752984046936,183430,iotagpu02,140.221.68.6,319.4752984046936,0,2,"8_batch_size=430,dropout=0.82876,epochs=77,learning_rate=0.059603",0.05960317207512957,0.8287584508408835,77,430
f2505498,0.8314625288874216,1.4202032089233398,True,,,2,484fd8a805e845e3b195aececc2907d5,2020-10-08_00-27-39,1602134859,235.6919322013855,184118,iotagpu02,140.221.68.6,235.6919322013855,0,2,"9_batch_size=932,dropout=0.60663,epochs=59,learning_rate=0.058538",0.05853824291839231,0.6066314265354408,59,932
f2508242,0.6644982924052691,1.2325429916381836,True,,,2,0ba8af2592e24f97a8d343cec502a485,2020-10-08_00-28-40,1602134920,292.94212222099304,184040,iotagpu02,140.221.68.6,292.94212222099304,0,2,"10_batch_size=473,dropout=0.83142,epochs=71,learning_rate=0.048171",0.04817146182097874,0.8314217413154151,71,473
f250ae70,0.928937728937729,1.364168405532837,True,,,2,e7d3eb26cb6d43f6bfe89d3b6590869c,2020-10-08_00-27-49,1602134869,224.49901366233826,184008,iotagpu02,140.221.68.6,224.49901366233826,0,2,"11_batch_size=735,dropout=0.46562,epochs=54,learning_rate=0.04002",0.040020313468275635,0.46562231989382974,54,735
f250ddf0,0.8418592901351523,1.339923620223999,True,,,2,1f5e2263cf4d49269036f2612c591c66,2020-10-08_00-27-39,1602134859,201.48311305046082,184005,iotagpu02,140.221.68.6,201.48311305046082,0,2,"12_batch_size=609,dropout=0.64548,epochs=49,learning_rate=0.063718",0.06371750103354795,0.6454779263684753,49,609
f2510d34,0.8464485705865016,1.2532637119293213,True,,,2,4bc3fc7344a74d62b7ba31468e839c6f,2020-10-08_00-30-44,1602135044,353.77914357185364,184027,iotagpu02,140.221.68.6,353.77914357185364,0,2,"13_batch_size=522,dropout=0.69655,epochs=87,learning_rate=0.052397",0.05239662618816675,0.6965508144478224,87,522
f2513b2e,0.8751814223512336,1.4127354621887207,True,,,2,72705b85ff0b4651ae6c25e739c139b2,2020-10-08_00-31-11,1602135071,327.21828842163086,183973,iotagpu02,140.221.68.6,327.21828842163086,0,2,"14_batch_size=954,dropout=0.72107,epochs=81,learning_rate=0.040741",0.04074066671501575,0.7210670170114231,81,954
f25167ac,0.8550342013680547,1.290651559829712,True,,,2,974af1cc052b4e25af4fcf697805fedc,2020-10-08_00-31-03,1602135063,315.52731800079346,183681,iotagpu02,140.221.68.6,315.52731800079346,0,2,"15_batch_size=641,dropout=0.494,epochs=78,learning_rate=0.056069",0.05606947530074083,0.4940037908020436,78,641
f2519a88,0.8507662550215742,1.2749323844909668,True,,,2,b47f2244898d493684916f099612b02c,2020-10-08_00-30-06,1602135006,227.4653661251068,183624,iotagpu02,140.221.68.6,227.4653661251068,0,2,"16_batch_size=517,dropout=0.50055,epochs=56,learning_rate=0.06473",0.0647296189613702,0.5005539796378438,56,517
f251d4d0,0.6457696673360691,1.4334287643432617,True,,,2,e8d40d7155d84af9bfc869df79e04790,2020-10-08_00-31-39,1602135099,238.28945088386536,183671,iotagpu02,140.221.68.6,238.28945088386536,0,2,"17_batch_size=881,dropout=0.76295,epochs=59,learning_rate=0.090256",0.09025644219218516,0.7629540895241445,59,881
f252037e,0.8454082266683236,1.3320198059082031,True,,,2,bc8137de855841edb732bd74adc347a9,2020-10-08_00-32-47,1602135167,305.78556060791016,183708,iotagpu02,140.221.68.6,305.78556060791016,0,2,"18_batch_size=619,dropout=0.57223,epochs=74,learning_rate=0.055189",0.0551894020151525,0.5722265593638537,74,619
f2522e4e,0.6854073551321258,1.4582257270812988,True,,,2,01605280917846578400009806326f99,2020-10-08_00-31-57,1602135117,246.53258109092712,183684,iotagpu02,140.221.68.6,246.53258109092712,0,2,"19_batch_size=981,dropout=0.52841,epochs=60,learning_rate=0.085187",0.08518747679553865,0.5284129051474649,60,981
f2525d24,0.801883331295096,1.2893476486206055,True,,,2,e38dc3a0ebe04103b6ce56685811bb62,2020-10-08_00-32-59,1602135179,257.5737929344177,183701,iotagpu02,140.221.68.6,257.5737929344177,0,2,"20_batch_size=629,dropout=0.7712,epochs=63,learning_rate=0.053286",0.05328565892782479,0.7712007107162344,63,629
ba55fa1e,0.9496444044796861,1.4174816608428955,True,,,2,b8f90de276004b5cabfbbbbcf78781ae,2020-10-08_00-37-53,1602135473,292.3030490875244,183737,iotagpu02,140.221.68.6,292.3030490875244,0,2,"1_batch_size=941,dropout=0.46609,epochs=72,learning_rate=0.020955",0.020954511158315158,0.46609086797774146,72,941
ba562f02,0.9764500205676676,1.374629259109497,True,,,2,7ed6f612895745798f64e2c781fb2cdf,2020-10-08_00-36-28,1602135388,206.863028049469,183639,iotagpu02,140.221.68.6,206.863028049469,0,2,"2_batch_size=748,dropout=0.49865,epochs=50,learning_rate=0.0048686",0.004868556656918172,0.49865007953167223,50,748
